problem,subdir,header_ok,header_msg,includes_ok,includes_msg,predicates_ok,predicates_msg,fof_syntax_ok,fof_syntax_msg,smt_syntax_ok,smt_syntax_msg,ttl_syntax_ok,ttl_syntax_msg,verdict,relation,expected_status,expected_smt,fof_szs,smt_szs,fof_audit_ok,smt_audit_ok
ODRL465-1,LogicalXone,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL466-1,LogicalXone,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL467-1,LogicalXone,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,subsumption,Theorem,unsat,,,-,-
ODRL468-1,LogicalXone,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,subsumption,Theorem,sat,,,-,-
ODRL469-1,LogicalXone,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL470-1,LogicalXone,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL400-1,PolicyQuality,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL401-1,PolicyQuality,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL402-1,PolicyQuality,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL403-1,PolicyQuality,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,subsumption,Theorem,unsat,,,-,-
ODRL404-1,PolicyQuality,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL405-1,PolicyQuality,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL406-1,PolicyQuality,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL407-1,PolicyQuality,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,subsumption,Theorem,unsat,,,-,-
ODRL408-1,PolicyQuality,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL409-1,PolicyQuality,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL410-1,PolicyQuality,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,subsumption,Theorem,unsat,,,-,-
ODRL411-1,PolicyQuality,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL412-1,PolicyQuality,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL413-1,PolicyQuality,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL414-1,PolicyQuality,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,subsumption,Theorem,sat,,,-,-
ODRL415-1,PolicyQuality,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,subsumption,Theorem,unsat,,,-,-
ODRL416-1,PolicyQuality,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL620-1,Projection,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL621-1,Projection,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL622-1,Projection,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL623-1,Projection,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL624-1,Projection,Y,,Y,,N,"undefined predicates: ['box2_compatible', 'distinct']",Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL625-1,Projection,Y,,Y,,N,"undefined predicates: ['box2_conflict', 'distinct']",Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL626-1,Projection,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL627-1,Projection,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL628-1,Projection,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL629-1,Projection,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL750-1,SAT,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Satisfiable,,Satisfiable,,,,-,-
ODRL751-1,SAT,Y,,Y,,N,"undefined predicates: ['axis_compatible', 'distinct']",Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Satisfiable,,Satisfiable,,,,-,-
ODRL752-1,SAT,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Satisfiable,,Satisfiable,,,,-,-
ODRL753-1,SAT,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Satisfiable,,Satisfiable,,,,-,-
ODRL754-1,SAT,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Satisfiable,,Satisfiable,,,,-,-
ODRL755-1,SAT,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Satisfiable,,Satisfiable,,,,-,-
ODRL756-1,SAT,Y,,Y,,N,undefined predicates: ['distinct'],N,parse error,Y,,Y,(rdflib unavailable; passed regex sniff),Satisfiable,,Satisfiable,,,,-,-
ODRL757-1,SAT,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Satisfiable,,Satisfiable,,,,-,-
ODRL758-1,SAT,Y,,Y,,N,"undefined predicates: ['axis_compatible', 'distinct']",Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Satisfiable,,Satisfiable,,,,-,-
ODRL759-1,SAT,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Satisfiable,,Satisfiable,,,,-,-
ODRL763-1,SAT,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Satisfiable,,Satisfiable,,,,-,-
ODRL764-1,SAT,Y,,Y,,Y,,Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Satisfiable,,Satisfiable,,,,-,-
ODRL767-1,SAT,Y,,Y,,N,"undefined predicates: ['axis_conflict', 'distinct']",Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Satisfiable,,Satisfiable,,,,-,-
ODRL768-1,SAT,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Satisfiable,,Satisfiable,,,,-,-
ODRL769-1,SAT,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Satisfiable,,Satisfiable,,,,-,-
ODRL500-1,SemanticCore,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL501-1,SemanticCore,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL502-1,SemanticCore,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL503-1,SemanticCore,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL504-1,SemanticCore,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL505-1,SemanticCore,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL506-1,SemanticCore,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL507-1,SemanticCore,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,verdict_algebra,Theorem,unsat,,,-,-
ODRL508-1,SemanticCore,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL509-1,SemanticCore,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL510-1,SemanticCore,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL511-1,SemanticCore,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL512-1,SemanticCore,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,verdict_algebra,Theorem,unsat,,,-,-
ODRL513-1,SemanticCore,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,verdict_algebra,Theorem,unsat,,,-,-
ODRL300-1,SingleAxis,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL301-1,SingleAxis,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL302-1,SingleAxis,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL303-1,SingleAxis,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL304-1,SingleAxis,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL305-1,SingleAxis,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL306-1,SingleAxis,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL307-1,SingleAxis,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL308-1,SingleAxis,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL309-1,SingleAxis,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,subsumption,Theorem,unsat,,,-,-
ODRL310-1,SingleAxis,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,subsumption,Theorem,sat,,,-,-
ODRL311-1,SingleAxis,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,subsumption,Theorem,unsat,,,-,-
ODRL312-1,SingleAxis,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,subsumption,Theorem,unsat,,,-,-
ODRL313-1,SingleAxis,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL314-1,SingleAxis,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL760-1,UNS,Y,,Y,,N,undefined predicates: ['distinct'],N,parse error,Y,,Y,(rdflib unavailable; passed regex sniff),Unsatisfiable,,Unsatisfiable,,,,-,-
ODRL761-1,UNS,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Unsatisfiable,,Unsatisfiable,,,,-,-
ODRL762-1,UNS,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Unsatisfiable,,Unsatisfiable,,,,-,-
ODRL765-1,UNS,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Unsatisfiable,,Unsatisfiable,,,,-,-
ODRL766-1,UNS,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Unsatisfiable,,Unsatisfiable,,,,-,-
ODRL610-1,WellFormedness,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL611-1,WellFormedness,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL612-1,WellFormedness,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL613-1,WellFormedness,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL614-1,WellFormedness,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL615-1,WellFormedness,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL616-1,WellFormedness,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL617-1,WellFormedness,Y,,Y,,N,"undefined predicates: ['distinct', 'sem_nonempty']",Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
HARD001+1,Hard,N,Theorem but Verdict=None,Y,,N,"undefined predicates: ['axis_conflict', 'axis_subsumes', 'disjoint', 'interval', 'intervals']",Y,,-,no .smt2,Y,(rdflib unavailable; passed regex sniff),,,Theorem,,,,-,-
HARD001-SAT+1,Hard,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,-,no .ttl,,,Satisfiable,,,,-,-
HARD002+1,Hard,N,Theorem but Verdict=None,Y,,N,"undefined predicates: ['applicable', 'finder', 'prover']",Y,,-,no .smt2,Y,(rdflib unavailable; passed regex sniff),,,Theorem,,,,-,-
NFV001+1,Hard,N,Theorem but Verdict=None,Y,,N,"undefined predicates: ['axis_conflict', 'verdict']",Y,,-,no .smt2,Y,(rdflib unavailable; passed regex sniff),,,Theorem,,,,-,-
NFV001-SAT+1,Hard,Y,,Y,,N,"undefined predicates: ['axis_conflict', 'distinct']",Y,,Y,,-,no .ttl,,,Satisfiable,,,,-,-
NFV002+1,Hard,N,Theorem but Verdict=None,Y,,N,"undefined predicates: ['axis_compatible', 'overlap', 'verdict']",Y,,-,no .smt2,Y,(rdflib unavailable; passed regex sniff),,,Theorem,,,,-,-
NFV002-SAT+1,Hard,Y,,Y,,N,"undefined predicates: ['axis_compatible', 'distinct']",Y,,Y,,-,no .ttl,,,Satisfiable,,,,-,-
